ID,IMAGE,NAME,SLUG
1,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fbrands%2Fasus.png?alt=media&token=14f915b5-4879-4f39-b147-7728453bcad9,Asus,asus
2,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fbrands%2Fdell.png?alt=media&token=1fc43436-2fc9-41d5-9604-295839b4a2e7,Dell,dell
3,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fbrands%2Fmicrosoft.png?alt=media&token=40a715b8-9695-470f-afee-d779a9df56ab,Microsoft,microsoft
4,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fbrands%2Fapple.png?alt=media&token=b0d5b6c9-e3dc-435a-913e-eacecc72f5bb,Apple,apple
5,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fbrands%2Flenovo.png?alt=media&token=15b724b3-51f8-4955-999f-4587b4e39682,Lenovo,lenovo
6,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fbrands%2Fht.png?alt=media&token=fad1b824-af99-4b6c-85d0-161a0e656ecd,HP,hp
7,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fbrands%2Fmsi.png?alt=media&token=cf582319-beda-4930-a4dc-cbcc48f0ebad,MSI,msi
8,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fbrands%2Facer.png?alt=media&token=fe1591b2-935b-4c1b-84a6-a4082fb5cfa4,Acer,acer
9,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fbrands%2Flg.png?alt=media&token=446ae737-e923-47cd-8b04-7c9198bd4090,LG,lg
10,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fbrands%2Frazer.png?alt=media&token=2480746a-2da5-4541-b165-05bb924e7aa3,Razer,razer
